Bias, Current, error
0.84371,4.85014,0.23018
0.84771,4.91906,0.23354
0.85171,4.99126,0.23728
0.85571,5.0607,0.2409
0.85971,5.13502,0.24457
0.8637,5.20316,0.24804
0.8677,5.27675,0.25191
0.8717,5.34612,0.255
0.8757,5.41942,0.25756
0.8797,5.49119,0.25994
0.8837,5.56439,0.2626
0.8877,5.64002,0.26547
0.8917,5.72038,0.26874
0.8957,5.79305,0.27194
0.8997,5.87348,0.27566
0.9037,5.95167,0.27951
0.9077,6.03347,0.28332
0.9117,6.11848,0.28706
0.9157,6.20092,0.29033
0.9197,6.27991,0.29246
0.92371,6.35982,0.29444
0.92771,6.43761,0.29586
0.93171,6.51364,0.2973
0.93571,6.58766,0.29822
0.93971,6.66455,0.29956
0.94371,6.74317,0.30071
0.94771,6.81512,0.30096
0.95171,6.8883,0.30153
0.95571,6.96145,0.30182
0.95971,7.03165,0.30157
0.96371,7.1008,0.30082
0.96771,7.17313,0.29971
0.97171,7.23789,0.29799
0.97571,7.30651,0.29655
0.97971,7.37495,0.2948
0.98371,7.44664,0.29223
0.98771,7.52074,0.28996
0.99171,7.5978,0.28781
0.99571,7.67519,0.28537
0.99971,7.74868,0.28234
1.00371,7.81993,0.27979
1.00771,7.88525,0.27669
1.01171,7.95732,0.27345
1.01571,8.02618,0.27042
1.01971,8.09427,0.26717
1.02371,8.15857,0.26455
1.02771,8.22566,0.26206
1.03171,8.29488,0.25939
1.03571,8.35982,0.25644
1.03971,8.41842,0.25378
1.04371,8.47564,0.25084
1.04771,8.53458,0.24761
1.05171,8.5962,0.24362
1.05571,8.66106,0.23867
1.05971,8.72069,0.23433
1.06371,8.77841,0.23033
1.06771,8.83301,0.2254
1.07171,8.88429,0.22117
1.07571,8.93162,0.21717
1.07971,8.97686,0.21304
1.08371,9.01863,0.20865
1.08771,9.0557,0.20421
1.09171,9.09225,0.19931
1.09571,9.13265,0.1936
1.09971,9.1709,0.1881
1.10371,9.21006,0.18253
1.10771,9.24819,0.17637
1.11171,9.28533,0.17072
1.11571,9.32089,0.16526
1.11971,9.35804,0.15984
1.12371,9.39566,0.15447
1.12771,9.43482,0.14896
1.13171,9.47344,0.14405
1.13571,9.51084,0.13933
1.13971,9.54521,0.13484
1.14371,9.57925,0.13042
1.14771,9.60879,0.126
1.15171,9.63576,0.12192
1.15571,9.65846,0.11834
1.15971,9.68088,0.11453
1.16371,9.70136,0.11064
1.16771,9.71987,0.10686
1.17171,9.73789,0.10294
1.17571,9.75593,0.09902
1.17971,9.77301,0.09451
1.18371,9.78891,0.09006
1.18771,9.80432,0.08556
1.19171,9.82038,0.08111
1.19571,9.83481,0.07655
1.19971,9.84914,0.07143
1.20371,9.86388,0.06645
1.20771,9.87707,0.06207
1.21171,9.88888,0.05725
1.21571,9.89849,0.05265
1.21971,9.90808,0.04813
1.22371,9.91785,0.04354
1.22771,9.92767,0.03909
1.23171,9.93677,0.03525
1.23571,9.94439,0.03207
1.23971,9.95227,0.02868
1.24371,9.95874,0.02515
1.24771,9.96469,0.02166
1.25171,9.96966,0.01897
1.25571,9.97533,0.0157
1.25971,9.98122,0.01237
1.26371,9.98671,0.00934
1.26771,9.99129,0.00678
1.27171,9.99433,0.00445
1.27571,9.9964,0.00238
1.27971,9.99837,4.12941E-4
1.28371,9.99878,0
1.28771,9.99878,0
1.29171,9.99878,0
1.29571,9.99878,0
1.29971,9.99878,0
1.30371,9.99878,0
1.30771,9.99878,0
1.31171,9.99878,0
1.31571,9.99878,0
1.31971,9.99878,0
1.32371,9.99878,0
1.32771,9.99878,0
1.33171,9.99878,0
1.33571,9.99878,0
1.33971,9.99878,0
1.34371,9.99878,0
1.34771,9.99878,0
1.35171,9.99878,0
1.35571,9.99878,0
1.35971,9.99878,0
1.36371,9.99878,0
1.36771,9.99878,0
1.37171,9.99878,0
1.37571,9.99878,0
1.37971,9.99878,0
1.38371,9.99878,0
1.38771,9.99878,0
1.39171,9.99878,0
1.39571,9.99878,0
1.39971,9.99878,0
1.40371,9.99878,0
1.40771,9.99878,0
1.41171,9.99878,0
1.41571,9.99878,0
1.41971,9.99878,0
1.42371,9.99878,0
1.42771,9.99878,0
1.43171,9.99878,0
1.43571,9.99878,0
1.43971,9.99878,0
1.44371,9.99878,0
1.44771,9.99878,0
1.45171,9.99878,0
1.45571,9.99878,0
1.45971,9.99878,0
1.46371,9.99878,0
1.46771,9.99878,0
1.47171,9.99878,0
1.47571,9.99878,0
1.47971,9.99878,0
