Bias,Current,error
1.13171,9.25453,0.16942
1.13571,9.27814,0.1662
1.13971,9.30177,0.16281
1.14371,9.3249,0.15933
1.14771,9.34969,0.15565
1.15171,9.37369,0.15222
1.15571,9.39614,0.14939
1.15971,9.41649,0.14677
1.16371,9.44251,0.14296
1.16771,9.46874,0.13894
1.17171,9.49055,0.13565
1.17571,9.51156,0.13251
1.17971,9.53607,0.12903
1.18371,9.55845,0.12594
1.18771,9.57917,0.12328
1.19171,9.5964,0.12073
1.19571,9.61264,0.11801
1.19971,9.62742,0.11584
1.20371,9.64054,0.11419
1.20771,9.65319,0.11243
1.21171,9.66409,0.11102
1.21571,9.67492,0.10949
1.21971,9.68662,0.10772
1.22371,9.69581,0.10647
1.22771,9.70583,0.10514
1.23171,9.71672,0.10361
1.23571,9.72674,0.10207
1.23971,9.73659,0.10047
1.24371,9.74642,0.09854
1.24771,9.75522,0.09671
1.25171,9.76407,0.09429
1.25571,9.77772,0.08916
1.25971,9.79069,0.08438
1.26371,9.80115,0.08079
1.26771,9.81016,0.07814
1.27171,9.81811,0.07568
1.27571,9.82425,0.07383
1.27971,9.83064,0.07178
1.28371,9.83597,0.07032
1.28771,9.8399,0.06896
1.29171,9.84615,0.06724
1.29571,9.84959,0.06602
1.29971,9.85346,0.06484
1.30371,9.85592,0.06313
1.30771,9.8596,0.06126
1.31171,9.86467,0.05931
1.31571,9.86944,0.05747
1.31971,9.87476,0.05526
1.32371,9.88059,0.05252
1.32771,9.8879,0.04943
1.33171,9.89205,0.04764
1.33571,9.89735,0.04551
1.33971,9.90323,0.0434
1.34371,9.90906,0.04134
1.34771,9.91763,0.03795
1.35171,9.9238,0.03542
1.35571,9.9288,0.03272
1.35971,9.93346,0.03067
1.36371,9.93922,0.02837
1.36771,9.94602,0.02545
1.37171,9.95122,0.02312
1.37571,9.95642,0.02097
1.37971,9.96125,0.01906
1.38371,9.96581,0.01723
1.38771,9.97087,0.01495
1.39171,9.97505,0.01299
1.39571,9.97835,0.01179
1.39971,9.98138,0.01034
1.40371,9.98379,0.00936
1.40771,9.98661,0.00812
1.41171,9.98867,0.00732
1.41571,9.99092,0.00634
1.41971,9.99301,0.00577
1.42371,9.99355,0.0051
1.42771,9.99223,0.00514
1.43171,9.99163,0.00528
1.43571,9.99159,0.0051
1.43971,9.99148,0.00513
1.44371,9.99183,0.00491
